MLSNumber,Category,Status,Type,DOM,CDOM,ListDate,Agreement of Sale/Signed Lease Date,OffMarketDate,SettledDate,OriginalPrice,List Price,SoldPrice,StreetNumber,StreetDirection,StreetName,UnitNumber,City,State,ZipCode,County,MLSArea,Township,SchoolDistrict,Subdivision,ListAgentName,ListAgentCode,ListOfficeName,ListOfficeCode,ListOfficePhone,SellingAgent,SellingAgentCode,SellingOfficeName,SellingOfficeCode,SellingOfficePhone,SellerConcessionsAmount,FinalFinancing,FinalShortSale,FinalThirdPartyApproval,FinalBankOwned,TaxAnnualTotal,TaxYear,AcresTotal,LandUseCode,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,One-TimeAssociationFee,AssociationFee,AssociationFeeFrequency,Age,InteriorSqFt,PropertyCondition,Bedrooms,BathsFull,BathsHalf,Design,Style,NumberofStories,FloorNumber,Basement YN,GarageSpaces,Fireplace YN,Laundry,Other Rooms,RoomCount,Central Air YN,Waterfront YN,New Construction YN,ModelName,AdditionalBankOwned,AdditionalThirdPartyApproval,AdditionalShortSale,BuyerBrokerCompensation,SubAgentCompensation,TransactionBrokerCompensation,OriginatingMLS,AboveGradeSqFt,BelowGradeSqFt,HomeBuilt,BasementFootprintPct,BasementFinishedPct 
MDMC728370,RES,Active,,1,1,10/01/2020,,,,"$675,000","$675,000",,7631,,Heatherton,,Rockville,MD,3203,MONTGOMERYMD,,,,INVERNESS KNOLLS,Lauren E Davis,74610,TTR Sotheby's International Realty,TTRS11,(301) 516-1212,,,,,,,,,,,6750,2019,0.09,011,FeeSimple,No,No,Yes,Monthly,177,Monthly,1979,2296,,3,3,1,Three,Federal,"Lower1,Main,Upper1",,Yes,,,,,,Yes,No,No,,,,,3,3,,BRIGHT,1946,350,,,
MDPG583228,RES,Active,,1,4,10/01/2020,,,,"$450,000","$450,000",,14807,,Fort,,Accokeek,MD,2602,PRINCEGEORGESMD,,,,CALVERT MANOR,Anthony Mason,3051428,Keller Williams Capital Properties,KWCP1,(202) 243-7700,,,,,,,,,,,6058,2020,0.54,,FeeSimple,No,No,No,,,,2006,3402,,3,2,2,Three,"Colonial,Loft","Lower1,Main,Upper1",,Yes,,,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,2238,1164,,,
VAPW505984,RES,Active,,1,1,10/01/2020,,,,"$599,900","$599,900",,2995,,Akron,,Woodbridge,VA,1100,PRINCEWILLIAMVA,,,,AKRON ESTATES,James L Gaskill,12393,RE/MAX Gateway,RMAX151,(703) 754-1770,,,,,,,,,,,5992,2020,0.23,131,FeeSimple,No,No,No,,,,2003,4712,,5,4,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,2,Yes,UpprFlrLndry,,,Yes,No,No,,,,,2.5,,,BRIGHT,3308,1404,,,
DCDC489968,RES,Active,,1,22,10/01/2020,,,,"$775,000","$775,000",,1118,,Holbrook,,Washington,DC,3982,WASHINGTONDC,,,,TRINIDAD,Tatjana Bajrami,135619,"Long & Foster Real Estate, Inc.",LNG147,(202) 364-1300,,,,,,,,,,,3872,2019,0.03,,FeeSimple,No,No,No,,,,1926,1406,,4,3,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,,,,,,No,No,No,,,,,2.5,2.5,,BRIGHT,1232,174,,,
MDHW286028,RES,Active,,1,1,10/01/2020,,,,"$525,000","$525,000",,7014,,Mink Hollow,,Highland,MD,9770,HOWARDMD,,,,NONE AVAILABLE,Michael H Bennett,70753,Keller Williams Integrity,KWR55,(443) 574-1600,,,,,,,,,,,5724,2019,1.05,010,FeeSimple,No,No,No,,,,1959,1525,Excellent,4,3,,Two,Rancher,"Lower1,Main",,Yes,2,Yes,,,,Yes,No,No,,,,,2.25,2.25,,BRIGHT,1025,500,Excellent,,
MDPG583226,RES,Active,,1,36,10/01/2020,,,,"$329,999","$329,999",,6500,,20Th,,Hyattsville,MD,1622,PRINCEGEORGESMD,,,,GREEN MEADOWS,Isela B Melgar,154033,Fairfax Realty Select,FXR1,(703) 533-8660,,,,,,,,,,,0,2020,0.13,,FeeSimple,No,No,No,,,,1942,1102,,3,1,,Two,Colonial,"Main,Upper1",,No,,,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,1102,0,,,
VAPW505858,RES,Active,,1,1,10/01/2020,,,,"$499,900","$499,900",,13631,,Heritage Valley,,Gainesville,VA,1349,PRINCEWILLIAMVA,,,,HERITAGE HUNT,James L Gaskill,12393,RE/MAX Gateway,RMAX151,(703) 754-1770,,,,,,,,,,,5179,2020,0.16,131,FeeSimple,Yes,No,Yes,Monthly,310,Monthly,2001,2305,Excellent,2,2,,One,Colonial,Main,,No,2,Yes,,,,Yes,No,No,,,,,2.5,,,BRIGHT,2305,0,Excellent,,
DCDC489962,RES,Active,,1,1,10/01/2020,,,,"$1,800,000","$1,549,900",,5331,,16Th,,Washington,DC,3617,WASHINGTONDC,,,,16TH STREET HEIGHTS,David R Bediz,98495,Keller Williams Capital Properties,KWCP1,(202) 243-7700,,,,,,,,,,,11214,2019,0.2,,FeeSimple,No,No,No,,,,1923,4935,,5,3,,Four,"Manor,Mediterranean,Spanish,Villa","Lower1,Main,Upper1,Upper2",,Yes,2,,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,3909,1026,,100,100
VAAR170644,RES,Active,,1,67,10/01/2020,,,,"$875,000","$875,000",,1300,,Army Navy,1103,Arlington,VA,2054,ARLINGTONVA,,,,PENTAGON CITY METRO,Ann Marie Wilson,92910,KW Metro Center,KWR17,(703) 224-6000,,,,,,,,,,,7030,2019,,,Condominium,No,Yes,No,,,,1985,1844,Excellent,2,2,1,One,Traditional,Main,11,No,2,Yes,"DryerInUnit,WasherInUnit",,,Yes,No,No,,,,,3,,,BRIGHT,1844,0,Excellent,,
MDMC728162,RES,Active,,1,1,10/01/2020,,,,"$124,900","$124,900",,864,,Quince Orchard,101,Gaithersburg,MD,1718,MONTGOMERYMD,,,,DIAMOND FARM CODM,Alejandro Luis A Martinez,114644,RE/MAX Elite Services,RXES1,(301) 850-2909,,,,,,,,,,,1244,2019,,011,Condominium,No,Yes,No,,,,1967,1021,,2,1,,One,Colonial,Main,,No,,,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,1021,0,,,
MDPG583088,RES,Active,,1,1,10/01/2020,,,,"$239,000","$239,000",,11214,,Westport,,Bowie,MD,3410,PRINCEGEORGESMD,,,,LOTTSFORD COMMUNITY,Orlando D Smith,75631,RE/MAX Professionals,RMXP4,(301) 474-2400,,,,,,,,,,,3201,2019,0.03,011,FeeSimple,No,No,Yes,Monthly,93,Monthly,1984,1366,Average,4,2,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,,,LowFlrLndry,,,Yes,No,No,,,,,2.5,2.5,,BRIGHT,1366,0,Average,,
VAAX251738,RES,Active,,1,92,10/01/2020,,,,"$439,000","$439,000",,400,,Cameron Station,G14,Alexandria,VA,8226,ALEXANDRIACITYVA,,,,CAMERON STATION,To-Tam Le,3085952,Redfin Corporation,REFC1,(703) 485-1290,,,,,,,,,,,4196,2020,,,Condominium,No,Yes,Yes,Monthly,105.47,Monthly,2007,1096,,2,2,,One,Traditional,Main,1,No,2,,,,,Yes,No,No,,,,,2.5,,,BRIGHT,1096,0,,,
DCDC489728,RES,Active,,1,1,10/01/2020,,,,"$800,000","$800,000",,1867,,Mintwood,3,Washington,DC,1946,WASHINGTONDC,,,,KALORAMA TRIANGLE,Christopher R Sanders,154503,Compass,COMPS1,(202) 386-6330,,,,,,,,,,,5525,2019,,,Condominium,No,Yes,No,,,,1900,1098,VeryGood,2,2,,One,CondoUnit,Main,3,No,,Yes,"DryerInUnit,WasherInUnit",,,Yes,No,No,,,,,2.5,0,,BRIGHT,1098,0,VeryGood,,
MDMC728366,RES,Active,,1,1,10/01/2020,,,,"$747,000","$747,000",,7416,,Crestberry,,Bethesda,MD,1273,MONTGOMERYMD,,,,WILDWOOD HILLS,Krystyna Litwin,3751,RE/MAX Town Center,RXTC2,(301) 637-9762,,,,,,,,,,,7149,2019,0.06,011,FeeSimple,No,Yes,No,,,,1984,1974,,3,2,2,Three,Transitional,"Lower1,Main,Upper1",,Yes,1,,,,,Yes,No,No,,,,,3,3,,BRIGHT,1974,0,,,
MDMC728206,RES,Active,,1,1,10/01/2020,,,,"$190,000","$190,000",,3251,S,Leisure World,108-A,Silver Spring,MD,1759,MONTGOMERYMD,,,,NONE AVAILABLE,Linda Sansbury,3053846,"Weichert, REALTORS",WEI28,(301) 681-0550,,,,,,,,,,,1792,2019,,011,Condominium,Yes,Yes,No,,,,1970,1445,VeryGood,2,2,1,Two,Traditional,"Main,Upper1,Upper2,Upper3",,No,,,,,,Yes,No,No,,,,,2.5,2.5,,BRIGHT,1445,0,VeryGood,,
DCDC489086,RES,Active,,1,1,10/01/2020,,,,"$810,000","$810,000",,715,,Irving,,Washington,DC,1519,WASHINGTONDC,,,,COLUMBIA HEIGHTS,Deirdre Thao Vo,3065081,"Pearson Smith Realty, LLC",PSTH3,(571) 386-1075,,,,,,,,,,,5853,2019,0.06,,FeeSimple,No,No,No,,,,1920,1332,Good,3,3,,Two,Colonial,"Lower1,Main,Upper1",,No,,No,"DryerInUnit,UpprFlrLndry,WasherInUnit",,,Yes,No,No,,,,,2.5,0,,BRIGHT,1332,0,Good,,
VAAR170298,RES,Active,,1,1,10/01/2020,,,,"$1,050,000","$1,050,000",,4669,,17Th,,Arlington,VA,2049,ARLINGTONVA,,,,WAYCROFT,Renata Briggman,82144,KW Metro Center,KWR17,(703) 224-6000,,,,,,,,,,,9249,2020,0.18,004,FeeSimple,No,No,No,,,,1937,2354,Excellent,3,3,,Three,CapeCod,"Lower1,Main,Upper1",,Yes,1,Yes,BsmtLaundry,,,Yes,No,No,,,,,2.5,,,BRIGHT,1503,851,Excellent,,
VAFX1159034,RES,Active,,1,1,10/01/2020,,,,"$514,900","$514,900",,8174,,Bianca,,Alexandria,VA,3761,FAIRFAXVA,,,,ROXBURY MEWS,Jacklyn A Esguerra,86928,"Avery-Hess, REALTORS",AHR7,(703) 802-8200,,,,,,,,,,,4931,2020,0.05,147,FeeSimple,No,No,Yes,Monthly,140,Monthly,2005,1830,Good,3,3,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,1,Yes,,,,Yes,No,No,,,,,3,,,BRIGHT,1830,0,Good,,
MDMC728252,RES,Active,,1,1,10/01/2020,,,,"$245,000","$245,000",,18532,,Bay Leaf,,Germantown,MD,2054,MONTGOMERYMD,,,,GERMANTOWN PARK,Claudia V Cornejo,96554,Fairfax Realty of Tysons,FRX3,(703) 766-9800,,,,,,,,,,,2310,2019,0.05,011,FeeSimple,No,No,Yes,Monthly,94,Monthly,1974,1248,VeryGood,3,1,1,Two,Contemporary,"Main,Upper1",,No,,No,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,1248,0,VeryGood,,
MDPG583168,RES,Active,,1,1,10/01/2020,,,,"$490,000","$490,000",,12400,,Arrow Park,,Fort Washington,MD,6213,PRINCEGEORGESMD,,,,TANTALLON ON THE POTOMAC,Boyd Grainger,145664,Exit Landmark Realty,ELMR1,(301) 934-2022,,,,,,,,,,,6181,2019,0.29,011,FeeSimple,No,No,Yes,Unknown,0,Unknown,1966,2698,,4,3,1,Two,SplitFoyer,"Lower1,Main",,Yes,2,Yes,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,1624,1074,,,
MDPG582718,RES,Active,,1,1,10/01/2020,,,,"$350,000","$350,000",,706,,Iona,,Capitol Heights,MD,3310,PRINCEGEORGESMD,,,,WILBURN ESTATES,Lisa Sidney Irving,3308041,"Essential Properties Realty Brokerage, Inc.",EPRB1,(301) 485-0981,,,,,,,,,,,3107,2019,0.24,011,FeeSimple,No,No,No,,,,1967,2288,VeryGood,4,2,,Two,SplitFoyer,"Lower1,Main",,Yes,,No,LowFlrLndry,,,Yes,No,No,,,,,2,2,,BRIGHT,1144,1144,VeryGood,,
MDMC727750,RES,Active,,1,1,10/01/2020,,,,"$295,000","$295,000",,13027,,Bridger,1411,Germantown,MD,3969,MONTGOMERYMD,,,,CLOVERLEAF CENTER,Jack W Wang,3023498,RLAH Real Estate,RLAH1,(301) 652-0643,,,,,,,,,,,2808,2019,,011,Condominium,No,Yes,No,,,,1995,1840,,2,2,1,Three,Contemporary,"Lower1,Main,Upper1",,No,1,,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,1840,0,,,
VAFX1155454,RES,Active,,1,1,10/01/2020,,,,"$1,225,000","$1,225,000",,2215,,Glenheather,,Falls Church,VA,1923,FAIRFAXVA,,,,CHURCHILL,Tom Francis,99166,Keller Williams Realty,KWR21,(703) 636-7300,,,,,,,,,,,13830,2020,0.24,132,FeeSimple,No,No,No,,,,2009,3509,Excellent,6,4,,Three,Craftsman,"Lower1,Main,Upper1",,Yes,2,Yes,"DryerInUnit,UpprFlrLndry,WasherInUnit",,,Yes,No,No,,,,,3,,,BRIGHT,2336,1173,Excellent,,
DCDC489772,RES,Active,,1,1,10/01/2020,,,,"$699,000","$699,000",,4016,,5Th,,Washington,DC,5924,WASHINGTONDC,,,,PETWORTH,Helen M Dodson,2160,"Long & Foster Real Estate, Inc.",LNG147,(202) 364-1300,,,,,,,,,,,4793,2019,0.04,,FeeSimple,No,No,No,,,,1915,1760,VeryGood,3,1,,Two,Colonial,"Lower1,Main,Upper1",,Yes,,No,,,,No,No,No,,,,,2.5,2.5,,BRIGHT,1440,320,VeryGood,,
VAFX1158210,RES,Active,,1,1,10/01/2020,,,,"$525,000","$525,000",,7472,,Westcreek,,Springfield,VA,1918,FAIRFAXVA,,,,WESTWATER POINT,Michael C Rush,13337,"Long & Foster Real Estate, Inc.",LNG85,(703) 968-7000,,,,,,,,,,,5522,2020,0.04,147,FeeSimple,No,No,Yes,Quarterly,300,Quarterly,1989,1935,VeryGood,3,2,2,Four,Colonial,"Lower1,Main,Upper1,Upper2",,Yes,1,Yes,,,,Yes,No,No,DORCHESTER,,,,2.5,,,BRIGHT,1688,247,VeryGood,,
VALO422792,RES,Active,,1,1,10/01/2020,,,,"$465,000","$465,000",,223,,Great Laurel,,Leesburg,VA,5411,LOUDOUNVA,,,,OAKLAWN,Thomas R Moffett Jr.,3046778,Redfin Corporation,REFC1,(703) 485-1290,,,,,,,,,,,5097,2020,0.04,,FeeSimple,No,No,Yes,Monthly,125,Monthly,2007,2280,,4,2,1,Three,Other,"Lower1,Main,Upper1",,No,1,,,,,Yes,No,No,,,,,2.5,,,BRIGHT,2280,0,,,
MDMC728356,RES,Active,,1,1,10/01/2020,,,,"$315,000","$315,000",,3100,N,Leisure World,415,Silver Spring,MD,8343,MONTGOMERYMD,,,,OVERLOOK AT LEISURE WORLD,Barbara A Ciment,1802,"Long & Foster Real Estate, Inc.",LNG302,(301) 424-0900,,,,,,,,,,,2649,2019,,011,Condominium,Yes,Yes,No,,,,2004,1242,Excellent,2,2,,One,CondoUnit,Main,4,No,,No,"DryerInUnit,HasLaundry,WasherInUnit",,,Yes,No,No,,,,,2.5,2.5,,BRIGHT,1242,0,Excellent,,
VAFX1158904,RES,Active,,1,1,10/01/2020,,,,"$800,000","$800,000",,7307,,Pepper,,Clifton,VA,1934,FAIRFAXVA,,,,REDLAC FOREST,Joseph J Facenda Jr.,16288,"RE/MAX Gateway, LLC",RMAX154,(703) 652-7000,,,,,,,,,,,8845,2020,5,132,FeeSimple,No,No,Yes,Annually,450,Annually,1973,3941,Good,6,3,2,Three,SplitLevel,"Lower1,Main,Upper1",,Yes,2,Yes,MainFlrLndry,,,Yes,No,No,,,,,2.5,,,BRIGHT,2941,1000,Good,,
DCDC489908,RES,Active,,1,1,10/01/2020,,,,"$1,565,000","$1,565,000",,3528,,Quebec,,Washington,DC,3130,WASHINGTONDC,,,,CLEVELAND PARK,Dino R Milanese,79093,Coldwell Banker Residential Brokerage,CBRB52,(202) 547-3525,,,,,,,,,,,9626,2019,0.11,,FeeSimple,No,No,No,,,,1920,2215,Excellent,4,3,1,Three,Dutch,"Lower1,Main,Upper1",,Yes,,,,,,Yes,No,No,,,,,2.5,2.5,,BRIGHT,1685,530,Excellent,,
DCDC482232,RES,Active,,1,1,10/01/2020,,,,"$849,900","$849,900",,1528,,Roxanna,,Washington,DC,1228,WASHINGTONDC,,,,SHEPHERD PARK,Mary C McGuinness,86527,"Weichert, REALTORS",WEI4,(202) 326-1300,,,,,,,,,,,5037,2019,0.13,,FeeSimple,No,No,No,,,,1949,2772,,3,2,2,Three,Colonial,"Lower1,Main,Upper1",1,Yes,,Yes,LowFlrLndry,,,No,No,No,,,,,3,0,,BRIGHT,1976,796,,100,
DCDC489928,RES,Active,,1,1,10/01/2020,,,,"$2,495,000","$2,495,000",,3037,,O,,Washington,DC,3108,WASHINGTONDC,,,,GEORGETOWN,Eileen McGrath,4033,"Washington Fine Properties, LLC",WFP1,(202) 944-5000,,,,,,,,,,,17572,2019,0.06,,FeeSimple,No,No,No,,,,1890,2926,,5,5,,Four,Victorian,"Lower1,Main,Upper1,Upper2",,Yes,,,,,,Yes,No,No,,,,,2.75,0,,BRIGHT,2468,458,,,
MDMC728236,RES,Active,,1,1,10/01/2020,,,,"$250,000","$250,000",,3906,,Chesterwood,,Silver Spring,MD,2863,MONTGOMERYMD,,,,MONTGOMERY CHASE CODM,Jill L Lapides,60968,Cummings & Co. Realtors,CCRL10,(410) 823-0033,,,,,,,,,,,2378,2019,,011,Condominium,No,Yes,No,,,,1983,1206,Excellent,2,1,1,Two,Other,"Main,Upper1",,No,,,"DryerInUnit,MainFlrLndry,WasherInUnit",,,Yes,No,No,,,,,2.5,0,,BRIGHT,1206,0,Excellent,,
DCDC489940,RES,Active,,1,1,10/01/2020,,,,"$2,395,000","$2,395,000",,1318,,T,,Washington,DC,4439,WASHINGTONDC,,,,LOGAN CIRCLE,Elizabeth J D'Angio,99708,"Washington Fine Properties, LLC",WFP1,(202) 944-5000,,,,,,,,,,,12829,2019,0.06,,FeeSimple,No,No,No,,,,1900,3512,Excellent,5,4,1,Four,Traditional,"Lower1,Main,Upper1,Upper2",,Yes,,Yes,"LowFlrLndry,UpprFlrLndry",,,Yes,No,No,,,,,2.5,2.5,,BRIGHT,2540,972,Excellent,,
VALO422684,RES,Active,,1,1,10/01/2020,,,,"$420,000","$420,000",,413,,Pearlbush,,Leesburg,VA,4048,LOUDOUNVA,,,,SYCAMORE HILL,Thomas R Moffett Jr.,3046778,Redfin Corporation,REFC1,(703) 485-1290,,,,,,,,,,,4334,2020,0.05,,FeeSimple,No,No,Yes,Monthly,114,Monthly,2000,1678,,3,3,1,Three,Other,"Lower1,Main,Upper1",,Yes,,,,,,Yes,No,No,,,,,2.5,,,BRIGHT,1348,330,,,
MDMC728194,RES,Active,,1,1,10/01/2020,,,,"$549,000","$549,900",,17505,,Park Mill,,Rockville,MD,1164,MONTGOMERYMD,,,,MILL CREEK TOWNE,Derek Eisenberg,3150397,Continental Real Estate Group,OCON02,(877) 996-5728,,,,,,,,,,,4751,2019,0.34,011,FeeSimple,No,No,No,,,,1965,3050,Average,5,3,1,Three,Colonial,Main,1,Yes,,Yes,"DryerInUnit,WasherInUnit",,15,No,No,No,,,,,2.5,0,,BRIGHT,2390,660,Average,,
VAFX1158834,RES,Active,,1,1,10/01/2020,,,,"$619,000","$619,000",,6722,,Williams,,Alexandria,VA,1668,FAIRFAXVA,,,,BUCKNELL MANOR,Alexandra Thomas,3026778,Compass,COMPS4,(202) 448-9002,,,,,,,,,,,6322,2020,0.17,132,FeeSimple,No,No,No,,,,1950,1260,,3,2,0,Two,Cottage,"Main,Upper1",,Yes,,,,,,Yes,No,No,,,,,2.5,,,BRIGHT,1260,0,,,
DCDC489642,RES,Active,,1,1,10/01/2020,,,,"$1,375,000","$1,375,000",,4218,,Blagden,,Washington,DC,4246,WASHINGTONDC,,,,CRESTWOOD,Matthew M McHugh,66134,Compass,COMPS2,(301) 298-1001,,,,,,,,,,,7216,2019,0.18,,FeeSimple,No,No,No,,,,1968,2792,Excellent,3,3,,Two,SplitLevel,"Lower1,Main",,Yes,2,Yes,MainFlrLndry,,,Yes,No,No,,,,,2.5,0,,BRIGHT,1832,960,Excellent,,
VAFX1157908,RES,Active,,1,1,10/01/2020,,,,"$3,149,000","$3,149,000",,1350,,Woodside,,Mclean,VA,1530,FAIRFAXVA,,,,WOODSIDE ESTATES,Robert J Chevez II,123550,Keller Williams Realty,KWR8,(703) 679-1700,,,,,,,,,,,23492,2020,1.98,132,FeeSimple,No,No,No,,,,2002,12392,,6,6,2,Three,Colonial,"Lower1,Main,Upper1",,Yes,3,Yes,UpprFlrLndry,,,Yes,No,No,,,,,3,,,BRIGHT,8892,3500,,,
MDHW286070,RES,Active,,1,1,10/01/2020,,,,"$219,900","$219,900",,8295,,Mary Lee,,Laurel,MD,1174,HOWARDMD,,,,LEISHEAR VILLAGE,Deborah A McGrann,3017460,Coldwell Banker Realty,CBRB44,(410) 740-7100,,,,,,,,,,,3694,2019,0.03,010,FeeSimple,No,No,Yes,Monthly,58,Monthly,1983,1180,MajorRehabNeeded,2,2,0,Three,Traditional,"Lower1,Main,Upper1",,Yes,,No,,,,Yes,No,No,,,,,2.5,2.5,,BRIGHT,930,250,MajorRehabNeeded,,
